Sentence,Subject Characters,Actions with Subject Charcater,Object Characters,Objects and Actions,sentence sentiment score,dependency_tree
"The trio spend nearly a month planning in one of the Cottages cramped bedrooms , only seeing daylight or the other occupants of the house at mealtimes .","['trio', 'month', 'bedrooms', 'house', 'mealtimes']","['trio:spend', 'month:planning', 'bedrooms:one', 'house:occupants', 'mealtimes:house']","['daylight', 'occupants']","['daylight:seeing', 'occupants:seeing']",0.0,"[(('spend', 'VBP'), 'nsubj', ('trio', 'NN')), (('trio', 'NN'), 'det', ('The', 'DT')), (('spend', 'VBP'), 'dep', ('planning', 'VBG')), (('planning', 'VBG'), 'nsubj', ('month', 'NN')), (('month', 'NN'), 'advmod', ('nearly', 'RB')), (('month', 'NN'), 'det', ('a', 'DT')), (('planning', 'VBG'), 'nmod', ('one', 'CD')), (('one', 'CD'), 'case', ('in', 'IN')), (('one', 'CD'), 'nmod', ('bedrooms', 'NNS')), (('bedrooms', 'NNS'), 'case', ('of', 'IN')), (('bedrooms', 'NNS'), 'det', ('the', 'DT')), (('bedrooms', 'NNS'), 'compound', ('Cottages', 'NNP')), (('bedrooms', 'NNS'), 'compound', ('cramped', 'NN')), (('spend', 'VBP'), 'xcomp', ('seeing', 'VBG')), (('seeing', 'VBG'), 'advmod', ('only', 'RB')), (('seeing', 'VBG'), 'dobj', ('daylight', 'NN')), (('daylight', 'NN'), 'cc', ('or', 'CC')), (('daylight', 'NN'), 'conj', ('occupants', 'NNS')), (('occupants', 'NNS'), 'det', ('the', 'DT')), (('occupants', 'NNS'), 'amod', ('other', 'JJ')), (('occupants', 'NNS'), 'nmod', ('house', 'NN')), (('house', 'NN'), 'case', ('of', 'IN')), (('house', 'NN'), 'det', ('the', 'DT')), (('house', 'NN'), 'nmod', ('mealtimes', 'NNS')), (('mealtimes', 'NNS'), 'case', ('at', 'IN'))]"
"Harry , as well as the other two , comes to strongly dislike Griphook , because the Goblin seems to relish causing pain .","['Harry', 'Goblin']","['Harry:comes', 'Goblin:seems']","['Griphook', 'pain']","['Griphook:dislike', 'pain:causing']",-0.4019,"[(('comes', 'VBZ'), 'nsubj', ('Harry', 'NNP')), (('Harry', 'NNP'), 'cc', ('as', 'RB')), (('as', 'RB'), 'mwe', ('well', 'RB')), (('as', 'RB'), 'mwe', ('as', 'IN')), (('Harry', 'NNP'), 'conj', ('two', 'CD')), (('two', 'CD'), 'det', ('the', 'DT')), (('two', 'CD'), 'amod', ('other', 'JJ')), (('comes', 'VBZ'), 'xcomp', ('dislike', 'VB')), (('dislike', 'VB'), 'mark', ('to', 'TO')), (('dislike', 'VB'), 'advmod', ('strongly', 'RB')), (('dislike', 'VB'), 'dobj', ('Griphook', 'NNP')), (('comes', 'VBZ'), 'advcl', ('seems', 'VBZ')), (('seems', 'VBZ'), 'mark', ('because', 'IN')), (('seems', 'VBZ'), 'nsubj', ('Goblin', 'NNP')), (('Goblin', 'NNP'), 'det', ('the', 'DT')), (('seems', 'VBZ'), 'xcomp', ('relish', 'VB')), (('relish', 'VB'), 'mark', ('to', 'TO')), (('relish', 'VB'), 'xcomp', ('causing', 'VBG')), (('causing', 'VBG'), 'dobj', ('pain', 'NN'))]"
"During their stay , Remus visits them again .","['stay', 'Remus']","['stay:visits', 'Remus:visits']",['them'],['them:visits'],0.0,"[(('visits', 'VBZ'), 'nmod', ('stay', 'NN')), (('stay', 'NN'), 'case', ('During', 'IN')), (('stay', 'NN'), 'nmod:poss', ('their', 'PRP$')), (('visits', 'VBZ'), 'nsubj', ('Remus', 'NNP')), (('visits', 'VBZ'), 'dobj', ('them', 'PRP')), (('visits', 'VBZ'), 'advmod', ('again', 'RB'))]"
"Chastened by Harry , he had returned to Nymphadora by Christmas , and he came to Shell to tell everyone that she has given birth to a son who does not have his werewolf tendencies , but instead possesses Nymphadora 's Metamorphmagus abilities .","['Harry', 'he', 'Nymphadora', 'Christmas', 'he', 'Shell', 'she', 'son']","['Harry:Chastened', 'he:returned', 'Nymphadora:returned', 'Christmas:returned', 'he:came', 'Shell:came', 'she:given', 'son:given']","['everyone', 'birth', 'tendencies', 'abilities']","['everyone:tell', 'birth:given', 'tendencies:have', 'abilities:possesses']",0.3612,"[(('returned', 'VBN'), 'advcl', ('Chastened', 'VBN')), (('Chastened', 'VBN'), 'nmod', ('Harry', 'NNP')), (('Harry', 'NNP'), 'case', ('by', 'IN')), (('returned', 'VBN'), 'nsubj', ('he', 'PRP')), (('returned', 'VBN'), 'aux', ('had', 'VBD')), (('returned', 'VBN'), 'nmod', ('Nymphadora', 'NNP')), (('Nymphadora', 'NNP'), 'case', ('to', 'TO')), (('returned', 'VBN'), 'nmod', ('Christmas', 'NNP')), (('Christmas', 'NNP'), 'case', ('by', 'IN')), (('returned', 'VBN'), 'cc', ('and', 'CC')), (('returned', 'VBN'), 'conj', ('came', 'VBD')), (('came', 'VBD'), 'nsubj', ('he', 'PRP')), (('came', 'VBD'), 'nmod', ('Shell', 'NNP')), (('Shell', 'NNP'), 'case', ('to', 'TO')), (('came', 'VBD'), 'xcomp', ('tell', 'VB')), (('tell', 'VB'), 'mark', ('to', 'TO')), (('tell', 'VB'), 'dobj', ('everyone', 'NN')), (('tell', 'VB'), 'ccomp', ('given', 'VBN')), (('given', 'VBN'), 'mark', ('that', 'IN')), (('given', 'VBN'), 'nsubj', ('she', 'PRP')), (('given', 'VBN'), 'aux', ('has', 'VBZ')), (('given', 'VBN'), 'dobj', ('birth', 'NN')), (('given', 'VBN'), 'nmod', ('son', 'NN')), (('son', 'NN'), 'case', ('to', 'TO')), (('son', 'NN'), 'det', ('a', 'DT')), (('son', 'NN'), 'acl:relcl', ('have', 'VB')), (('have', 'VB'), 'nsubj', ('who', 'WP')), (('have', 'VB'), 'aux', ('does', 'VBZ')), (('have', 'VB'), 'neg', ('not', 'RB')), (('have', 'VB'), 'dobj', ('tendencies', 'NNS')), (('tendencies', 'NNS'), 'nmod:poss', ('his', 'PRP$')), (('tendencies', 'NNS'), 'compound', ('werewolf', 'NN')), (('came', 'VBD'), 'cc', ('but', 'CC')), (('came', 'VBD'), 'conj', ('possesses', 'VBZ')), (('possesses', 'VBZ'), 'advmod', ('instead', 'RB')), (('possesses', 'VBZ'), 'dobj', ('abilities', 'NNS')), (('abilities', 'NNS'), 'nmod:poss', ('Nymphadora', 'NNP')), (('Nymphadora', 'NNP'), 'case', (""'s"", 'POS')), (('abilities', 'NNS'), 'compound', ('Metamorphmagus', 'NNP'))]"
Remus also gives Harry the honour of being Teddy Lupin 's godfather .,['Remus'],['Remus:gives'],['honour'],['honour:gives'],0.5719,"[(('gives', 'VBZ'), 'nsubj', ('Remus', 'NNS')), (('gives', 'VBZ'), 'advmod', ('also', 'RB')), (('gives', 'VBZ'), 'iobj', ('Harry', 'NNP')), (('gives', 'VBZ'), 'dobj', ('honour', 'NN')), (('honour', 'NN'), 'det', ('the', 'DT')), (('honour', 'NN'), 'acl', ('godfather', 'NN')), (('godfather', 'NN'), 'mark', ('of', 'IN')), (('godfather', 'NN'), 'cop', ('being', 'VBG')), (('godfather', 'NN'), 'nmod:poss', ('Lupin', 'NNP')), (('Lupin', 'NNP'), 'compound', ('Teddy', 'NNP')), (('Lupin', 'NNP'), 'case', (""'s"", 'POS'))]"
"After many rounds of wine , he departs , and as they are cleaning up , William corners Harry and tells him to be wary of Griphook .","['rounds', 'wine', 'he', 'they', 'corners', 'Griphook']","['rounds:departs', 'wine:rounds', 'he:departs', 'they:cleaning', 'corners:Harry', 'Griphook:wary']",['him'],['him:tells'],0.0,"[(('departs', 'VBZ'), 'nmod', ('rounds', 'NNS')), (('rounds', 'NNS'), 'case', ('After', 'IN')), (('rounds', 'NNS'), 'amod', ('many', 'JJ')), (('rounds', 'NNS'), 'nmod', ('wine', 'NN')), (('wine', 'NN'), 'case', ('of', 'IN')), (('departs', 'VBZ'), 'nsubj', ('he', 'PRP')), (('departs', 'VBZ'), 'cc', ('and', 'CC')), (('departs', 'VBZ'), 'conj', ('Harry', 'VBZ')), (('Harry', 'VBZ'), 'advcl', ('cleaning', 'VBG')), (('cleaning', 'VBG'), 'mark', ('as', 'IN')), (('cleaning', 'VBG'), 'nsubj', ('they', 'PRP')), (('cleaning', 'VBG'), 'aux', ('are', 'VBP')), (('cleaning', 'VBG'), 'compound:prt', ('up', 'RP')), (('Harry', 'VBZ'), 'nsubj', ('corners', 'NNS')), (('corners', 'NNS'), 'compound', ('William', 'NNP')), (('Harry', 'VBZ'), 'cc', ('and', 'CC')), (('Harry', 'VBZ'), 'conj', ('tells', 'VBZ')), (('tells', 'VBZ'), 'dobj', ('him', 'PRP')), (('tells', 'VBZ'), 'xcomp', ('wary', 'JJ')), (('wary', 'JJ'), 'mark', ('to', 'TO')), (('wary', 'JJ'), 'cop', ('be', 'VB')), (('wary', 'JJ'), 'nmod', ('Griphook', 'NNP')), (('Griphook', 'NNP'), 'case', ('of', 'IN'))]"
"After extensive planning , on  May the group sets out for Gringotts to obtain the Horcrux .","['planning', 'May', 'group', 'Gringotts']","['planning:sets', 'May:sets', 'group:sets', 'Gringotts:sets']",['Horcrux'],['Horcrux:obtain'],0.0,"[(('sets', 'VBZ'), 'nmod', ('planning', 'NN')), (('planning', 'NN'), 'case', ('After', 'IN')), (('planning', 'NN'), 'amod', ('extensive', 'JJ')), (('sets', 'VBZ'), 'nmod', ('May', 'NNP')), (('May', 'NNP'), 'case', ('on', 'IN')), (('sets', 'VBZ'), 'nsubj', ('group', 'NN')), (('group', 'NN'), 'det', ('the', 'DT')), (('sets', 'VBZ'), 'compound:prt', ('out', 'RP')), (('sets', 'VBZ'), 'nmod', ('Gringotts', 'NNP')), (('Gringotts', 'NNP'), 'case', ('for', 'IN')), (('sets', 'VBZ'), 'xcomp', ('obtain', 'VB')), (('obtain', 'VB'), 'mark', ('to', 'TO')), (('obtain', 'VB'), 'dobj', ('Horcrux', 'NN')), (('Horcrux', 'NN'), 'det', ('the', 'DT'))]"
Hermione poses by way of Polyjuice as Bellatrix using a lone hair that had been left on her during the Skirmish at Malfoy .,"['Hermione', 'way', 'Polyjuice', 'Bellatrix', 'her', 'Skirmish', 'Malfoy']","['Hermione:poses', 'way:poses', 'Polyjuice:way', 'Bellatrix:poses', 'her:left', 'Skirmish:left', 'Malfoy:left']",['hair'],['hair:using'],-0.2732,"[(('poses', 'VBZ'), 'nsubj', ('Hermione', 'NNP')), (('poses', 'VBZ'), 'nmod', ('way', 'NN')), (('way', 'NN'), 'case', ('by', 'IN')), (('way', 'NN'), 'nmod', ('Polyjuice', 'NNP')), (('Polyjuice', 'NNP'), 'case', ('of', 'IN')), (('poses', 'VBZ'), 'nmod', ('Bellatrix', 'NNP')), (('Bellatrix', 'NNP'), 'case', ('as', 'IN')), (('Bellatrix', 'NNP'), 'acl', ('using', 'VBG')), (('using', 'VBG'), 'dobj', ('hair', 'NN')), (('hair', 'NN'), 'det', ('a', 'DT')), (('hair', 'NN'), 'amod', ('lone', 'JJ')), (('hair', 'NN'), 'acl:relcl', ('left', 'VBN')), (('left', 'VBN'), 'nsubjpass', ('that', 'WDT')), (('left', 'VBN'), 'aux', ('had', 'VBD')), (('left', 'VBN'), 'auxpass', ('been', 'VBN')), (('left', 'VBN'), 'nmod', ('her', 'PRP')), (('her', 'PRP'), 'case', ('on', 'IN')), (('left', 'VBN'), 'nmod', ('Skirmish', 'NNP')), (('Skirmish', 'NNP'), 'case', ('during', 'IN')), (('Skirmish', 'NNP'), 'det', ('the', 'DT')), (('left', 'VBN'), 'nmod', ('Malfoy', 'NNP')), (('Malfoy', 'NNP'), 'case', ('at', 'IN'))]"
"Ronald is disguised as a fictional foreign wizard , and Griphook and Harry go under the Invisibility cloak .","['wizard', 'Griphook', 'Harry', 'cloak']","['wizard:disguised', 'Griphook:go', 'Harry:go', 'cloak:go']",['Ronald'],['Ronald:disguised'],-0.2732,"[(('disguised', 'VBN'), 'nsubjpass', ('Ronald', 'NNP')), (('disguised', 'VBN'), 'auxpass', ('is', 'VBZ')), (('disguised', 'VBN'), 'nmod', ('wizard', 'NN')), (('wizard', 'NN'), 'case', ('as', 'IN')), (('wizard', 'NN'), 'det', ('a', 'DT')), (('wizard', 'NN'), 'amod', ('fictional', 'JJ')), (('wizard', 'NN'), 'amod', ('foreign', 'JJ')), (('disguised', 'VBN'), 'cc', ('and', 'CC')), (('disguised', 'VBN'), 'conj', ('go', 'VBP')), (('go', 'VBP'), 'nsubj', ('Griphook', 'NNP')), (('Griphook', 'NNP'), 'cc', ('and', 'CC')), (('Griphook', 'NNP'), 'conj', ('Harry', 'NNP')), (('go', 'VBP'), 'nmod', ('cloak', 'NN')), (('cloak', 'NN'), 'case', ('under', 'IN')), (('cloak', 'NN'), 'det', ('the', 'DT')), (('cloak', 'NN'), 'compound', ('Invisibility', 'NNP'))]"
"Through their use of disguises and Harry 's repeated use of the Imperius , they manage to gain access to the bank .","['use', 'use', 'disguises', 'they', 'bank']","['use:manage', 'use:manage', 'disguises:use', 'they:manage', 'bank:gain']",['access'],['access:gain'],0.34,"[(('manage', 'VBP'), 'nmod', ('use', 'NN')), (('use', 'NN'), 'case', ('Through', 'IN')), (('use', 'NN'), 'nmod:poss', ('their', 'PRP$')), (('use', 'NN'), 'nmod', ('disguises', 'NNS')), (('disguises', 'NNS'), 'case', ('of', 'IN')), (('use', 'NN'), 'cc', ('and', 'CC')), (('use', 'NN'), 'conj', ('use', 'NN')), (('use', 'NN'), 'nmod:poss', ('Harry', 'NNP')), (('Harry', 'NNP'), 'case', (""'s"", 'POS')), (('use', 'NN'), 'amod', ('repeated', 'VBN')), (('use', 'NN'), 'nmod', ('Imperius', 'NNPS')), (('Imperius', 'NNPS'), 'case', ('of', 'IN')), (('Imperius', 'NNPS'), 'det', ('the', 'DT')), (('manage', 'VBP'), 'nsubj', ('they', 'PRP')), (('manage', 'VBP'), 'xcomp', ('gain', 'VB')), (('gain', 'VB'), 'mark', ('to', 'TO')), (('gain', 'VB'), 'dobj', ('access', 'NN')), (('gain', 'VB'), 'nmod', ('bank', 'NN')), (('bank', 'NN'), 'case', ('to', 'TO')), (('bank', 'NN'), 'det', ('the', 'DT'))]"
"As they are travelling down the tunnel to the Lestrange , their cover is blown , and the Gringotts ' defences are set against them .","['they', 'Lestrange', 'them']","['they:travelling', 'Lestrange:down', 'them:set']","['cover', 'defences']","['cover:blown', 'defences:set']",-0.0516,"[(('blown', 'VBN'), 'advcl', ('travelling', 'VBG')), (('travelling', 'VBG'), 'mark', ('As', 'IN')), (('travelling', 'VBG'), 'nsubj', ('they', 'PRP')), (('travelling', 'VBG'), 'aux', ('are', 'VBP')), (('travelling', 'VBG'), 'advmod', ('down', 'RB')), (('down', 'RB'), 'nmod:npmod', ('tunnel', 'NN')), (('tunnel', 'NN'), 'det', ('the', 'DT')), (('down', 'RB'), 'nmod', ('Lestrange', 'NNP')), (('Lestrange', 'NNP'), 'case', ('to', 'TO')), (('Lestrange', 'NNP'), 'det', ('the', 'DT')), (('blown', 'VBN'), 'nsubjpass', ('cover', 'NN')), (('cover', 'NN'), 'nmod:poss', ('their', 'PRP$')), (('blown', 'VBN'), 'auxpass', ('is', 'VBZ')), (('blown', 'VBN'), 'cc', ('and', 'CC')), (('blown', 'VBN'), 'conj', ('set', 'VBN')), (('set', 'VBN'), 'nsubjpass', ('defences', 'NNS')), (('defences', 'NNS'), 'nmod:poss', ('Gringotts', 'NNPS')), (('Gringotts', 'NNPS'), 'det', ('the', 'DT')), (('Gringotts', 'NNPS'), 'case', (""'"", 'POS')), (('set', 'VBN'), 'auxpass', ('are', 'VBP')), (('set', 'VBN'), 'nmod', ('them', 'PRP')), (('them', 'PRP'), 'case', ('against', 'IN'))]"
"With Griphook 's help , they gain access to the vault and find the Horcrux , Helga Hufflepuff 's Cup .","['help', 'they', 'vault']","['help:gain', 'they:gain', 'vault:gain']","['access', 'Horcrux']","['access:gain', 'Horcrux:find']",0.7269,"[(('gain', 'VB'), 'nmod', ('help', 'NN')), (('help', 'NN'), 'case', ('With', 'IN')), (('help', 'NN'), 'nmod:poss', ('Griphook', 'NNP')), (('Griphook', 'NNP'), 'case', (""'s"", 'POS')), (('gain', 'VB'), 'nsubj', ('they', 'PRP')), (('gain', 'VB'), 'dobj', ('access', 'NN')), (('gain', 'VB'), 'nmod', ('vault', 'NN')), (('vault', 'NN'), 'case', ('to', 'TO')), (('vault', 'NN'), 'det', ('the', 'DT')), (('gain', 'VB'), 'cc', ('and', 'CC')), (('gain', 'VB'), 'conj', ('find', 'VB')), (('find', 'VB'), 'dobj', ('Horcrux', 'NNP')), (('Horcrux', 'NNP'), 'det', ('the', 'DT')), (('Horcrux', 'NNP'), 'appos', ('Cup', 'NNP')), (('Cup', 'NNP'), 'nmod:poss', ('Hufflepuff', 'NNP')), (('Hufflepuff', 'NNP'), 'compound', ('Helga', 'NNP')), (('Hufflepuff', 'NNP'), 'case', (""'s"", 'POS'))]"
"Harry grabs it , but Griphook betrays their presence and flees with the sword .","['Harry', 'Griphook', 'sword']","['Harry:grabs', 'Griphook:betrays', 'sword:betrays']","['it', 'presence', 'flees']","['it:grabs', 'presence:betrays', 'flees:betrays']",-0.7783,"[(('grabs', 'VBZ'), 'nsubj', ('Harry', 'NNP')), (('grabs', 'VBZ'), 'dobj', ('it', 'PRP')), (('grabs', 'VBZ'), 'cc', ('but', 'CC')), (('grabs', 'VBZ'), 'conj', ('betrays', 'VBZ')), (('betrays', 'VBZ'), 'nsubj', ('Griphook', 'NNP')), (('betrays', 'VBZ'), 'dobj', ('presence', 'NN')), (('presence', 'NN'), 'nmod:poss', ('their', 'PRP$')), (('presence', 'NN'), 'cc', ('and', 'CC')), (('presence', 'NN'), 'conj', ('flees', 'NNS')), (('betrays', 'VBZ'), 'nmod', ('sword', 'NN')), (('sword', 'NN'), 'case', ('with', 'IN')), (('sword', 'NN'), 'det', ('the', 'DT'))]"
"Many guards begin to pour into the vicinity as Harry , Ronald , and Hermione exit the vault .","['guards', 'vicinity', 'Harry', 'Ronald', 'Hermione']","['guards:begin', 'vicinity:pour', 'Harry:exit', 'Ronald:exit', 'Hermione:exit']",['vault'],['vault:exit'],0.0,"[(('begin', 'VBP'), 'nsubj', ('guards', 'NNS')), (('guards', 'NNS'), 'amod', ('Many', 'JJ')), (('begin', 'VBP'), 'xcomp', ('pour', 'VB')), (('pour', 'VB'), 'mark', ('to', 'TO')), (('pour', 'VB'), 'nmod', ('vicinity', 'NN')), (('vicinity', 'NN'), 'case', ('into', 'IN')), (('vicinity', 'NN'), 'det', ('the', 'DT')), (('pour', 'VB'), 'advcl', ('exit', 'VB')), (('exit', 'VB'), 'mark', ('as', 'IN')), (('exit', 'VB'), 'nsubj', ('Harry', 'NNP')), (('Harry', 'NNP'), 'conj', ('Ronald', 'NNP')), (('Harry', 'NNP'), 'cc', ('and', 'CC')), (('Harry', 'NNP'), 'conj', ('Hermione', 'NNP')), (('exit', 'VB'), 'dobj', ('vault', 'NN')), (('vault', 'NN'), 'det', ('the', 'DT'))]"
"Fighting off the guards , they narrowly escape on the back of a captive half-blind dragon which is released into the wild following their escape .","['they', 'back', 'dragon', 'escape']","['they:escape', 'back:escape', 'dragon:back', 'escape:wild']",['guards'],['guards:Fighting'],-0.0258,"[(('escape', 'VBZ'), 'advcl', ('Fighting', 'VBG')), (('Fighting', 'VBG'), 'compound:prt', ('off', 'RP')), (('Fighting', 'VBG'), 'dobj', ('guards', 'NNS')), (('guards', 'NNS'), 'det', ('the', 'DT')), (('escape', 'VBZ'), 'nsubj', ('they', 'PRP')), (('escape', 'VBZ'), 'advmod', ('narrowly', 'RB')), (('escape', 'VBZ'), 'nmod', ('back', 'NN')), (('back', 'NN'), 'case', ('on', 'IN')), (('back', 'NN'), 'det', ('the', 'DT')), (('back', 'NN'), 'nmod', ('dragon', 'NN')), (('dragon', 'NN'), 'case', ('of', 'IN')), (('dragon', 'NN'), 'det', ('a', 'DT')), (('dragon', 'NN'), 'amod', ('captive', 'JJ')), (('dragon', 'NN'), 'amod', ('half-blind', 'JJ')), (('dragon', 'NN'), 'acl:relcl', ('released', 'VBN')), (('released', 'VBN'), 'nsubjpass', ('which', 'WDT')), (('released', 'VBN'), 'auxpass', ('is', 'VBZ')), (('released', 'VBN'), 'nmod', ('wild', 'JJ')), (('wild', 'JJ'), 'case', ('into', 'IN')), (('wild', 'JJ'), 'det', ('the', 'DT')), (('wild', 'JJ'), 'nmod', ('escape', 'NN')), (('escape', 'NN'), 'case', ('following', 'VBG')), (('escape', 'NN'), 'nmod:poss', ('their', 'PRP$'))]"
Gryffindor 's sword is kept by Griphook .,['Griphook'],['Griphook:kept'],['sword'],['sword:kept'],0.0,"[(('kept', 'VBN'), 'nsubjpass', ('sword', 'NN')), (('sword', 'NN'), 'nmod:poss', ('Gryffindor', 'NNP')), (('Gryffindor', 'NNP'), 'case', (""'s"", 'POS')), (('kept', 'VBN'), 'auxpass', ('is', 'VBZ')), (('kept', 'VBN'), 'nmod', ('Griphook', 'NNP')), (('Griphook', 'NNP'), 'case', ('by', 'IN'))]"
"Sitting on the edge of the lake where they dismounted from the dragon , Harry has a vision shortly after their escape in which Tom lists off all the locations of the Horcruxes , now that he realises they are being sought after and destroyed .","['edge', 'lake', 'they', 'dragon', 'Harry', 'escape', 'Tom', 'he']","['edge:Sitting', 'lake:edge', 'they:dismounted', 'dragon:dismounted', 'Harry:has', 'escape:shortly', 'Tom:lists', 'he:realises']","['vision', 'locations', 'they']","['vision:has', 'locations:lists', 'they:sought']",-0.128,"[(('has', 'VBZ'), 'advcl', ('Sitting', 'VBG')), (('Sitting', 'VBG'), 'nmod', ('edge', 'NN')), (('edge', 'NN'), 'case', ('on', 'IN')), (('edge', 'NN'), 'det', ('the', 'DT')), (('edge', 'NN'), 'nmod', ('lake', 'NN')), (('lake', 'NN'), 'case', ('of', 'IN')), (('lake', 'NN'), 'det', ('the', 'DT')), (('Sitting', 'VBG'), 'advcl', ('dismounted', 'VBD')), (('dismounted', 'VBD'), 'advmod', ('where', 'WRB')), (('dismounted', 'VBD'), 'nsubj', ('they', 'PRP')), (('dismounted', 'VBD'), 'nmod', ('dragon', 'NN')), (('dragon', 'NN'), 'case', ('from', 'IN')), (('dragon', 'NN'), 'det', ('the', 'DT')), (('has', 'VBZ'), 'nsubj', ('Harry', 'NNP')), (('has', 'VBZ'), 'dobj', ('vision', 'NN')), (('vision', 'NN'), 'det', ('a', 'DT')), (('vision', 'NN'), 'advmod', ('shortly', 'RB')), (('shortly', 'RB'), 'nmod', ('escape', 'NN')), (('escape', 'NN'), 'case', ('after', 'IN')), (('escape', 'NN'), 'nmod:poss', ('their', 'PRP$')), (('vision', 'NN'), 'acl:relcl', ('lists', 'VBZ')), (('lists', 'VBZ'), 'nmod', ('which', 'WDT')), (('which', 'WDT'), 'case', ('in', 'IN')), (('lists', 'VBZ'), 'nsubj', ('Tom', 'NNP')), (('lists', 'VBZ'), 'compound:prt', ('off', 'RP')), (('lists', 'VBZ'), 'dobj', ('locations', 'NNS')), (('locations', 'NNS'), 'det:predet', ('all', 'PDT')), (('locations', 'NNS'), 'det', ('the', 'DT')), (('locations', 'NNS'), 'nmod', ('Horcruxes', 'NNPS')), (('Horcruxes', 'NNPS'), 'case', ('of', 'IN')), (('Horcruxes', 'NNPS'), 'det', ('the', 'DT')), (('has', 'VBZ'), 'advcl', ('realises', 'VBZ')), (('realises', 'VBZ'), 'advmod', ('now', 'RB')), (('realises', 'VBZ'), 'mark', ('that', 'IN')), (('realises', 'VBZ'), 'nsubj', ('he', 'PRP')), (('realises', 'VBZ'), 'ccomp', ('sought', 'VBN')), (('sought', 'VBN'), 'nsubjpass', ('they', 'PRP')), (('sought', 'VBN'), 'aux', ('are', 'VBP')), (('sought', 'VBN'), 'auxpass', ('being', 'VBG')), (('sought', 'VBN'), 'nmod', ('after', 'IN')), (('sought', 'VBN'), 'cc', ('and', 'CC')), (('sought', 'VBN'), 'conj', ('destroyed', 'VBN'))]"
"Tom inadvertently reveals that the unknown Horcrux , which Harry suspects to be a relic of Rowena Ravenclaw , founder of Ravenclaw house , is safe within Hogwarts , confirming a belief Harry had shared with the others to much derision .","['Tom', 'Horcrux', 'Harry', 'Ravenclaw', 'house', 'Hogwarts', 'Harry', 'others', 'derision']","['Tom:reveals', 'Horcrux:confirming', 'Harry:suspects', 'Ravenclaw:relic', 'house:founder', 'Hogwarts:confirming', 'Harry:shared', 'others:shared', 'derision:shared']",['belief'],['belief:confirming'],0.1779,"[(('reveals', 'VBZ'), 'nsubj', ('Tom', 'NNP')), (('reveals', 'VBZ'), 'advmod', ('inadvertently', 'RB')), (('reveals', 'VBZ'), 'ccomp', ('confirming', 'VBG')), (('confirming', 'VBG'), 'mark', ('that', 'IN')), (('confirming', 'VBG'), 'nsubj', ('Horcrux', 'NN')), (('Horcrux', 'NN'), 'det', ('the', 'DT')), (('Horcrux', 'NN'), 'amod', ('unknown', 'JJ')), (('Horcrux', 'NN'), 'acl:relcl', ('suspects', 'VBZ')), (('suspects', 'VBZ'), 'dobj', ('which', 'WDT')), (('suspects', 'VBZ'), 'nsubj', ('Harry', 'NNP')), (('suspects', 'VBZ'), 'xcomp', ('relic', 'NN')), (('relic', 'NN'), 'mark', ('to', 'TO')), (('relic', 'NN'), 'cop', ('be', 'VB')), (('relic', 'NN'), 'det', ('a', 'DT')), (('relic', 'NN'), 'nmod', ('Ravenclaw', 'NNP')), (('Ravenclaw', 'NNP'), 'case', ('of', 'IN')), (('Ravenclaw', 'NNP'), 'compound', ('Rowena', 'NNP')), (('Ravenclaw', 'NNP'), 'appos', ('founder', 'NN')), (('founder', 'NN'), 'nmod', ('house', 'NN')), (('house', 'NN'), 'case', ('of', 'IN')), (('house', 'NN'), 'compound', ('Ravenclaw', 'NNP')), (('confirming', 'VBG'), 'cop', ('is', 'VBZ')), (('confirming', 'VBG'), 'xcomp', ('safe', 'JJ')), (('confirming', 'VBG'), 'nmod', ('Hogwarts', 'NNP')), (('Hogwarts', 'NNP'), 'case', ('within', 'IN')), (('confirming', 'VBG'), 'dobj', ('belief', 'NN')), (('belief', 'NN'), 'det', ('a', 'DT')), (('belief', 'NN'), 'acl:relcl', ('shared', 'VBN')), (('shared', 'VBN'), 'nsubj', ('Harry', 'NNP')), (('shared', 'VBN'), 'aux', ('had', 'VBD')), (('shared', 'VBN'), 'nmod', ('others', 'NNS')), (('others', 'NNS'), 'case', ('with', 'IN')), (('others', 'NNS'), 'det', ('the', 'DT')), (('shared', 'VBN'), 'nmod', ('derision', 'NN')), (('derision', 'NN'), 'case', ('to', 'TO')), (('derision', 'NN'), 'amod', ('much', 'JJ'))]"
